m,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
10,0.65,21071,10772.447870898373,78.14191319277276,29.781353617305008,49.855117144435965,185.7373528446874,eigenvector_centrality,0.001169554316655849,4.570905051404932e-07,0.02279205132703337
10,0.7,22508,11014.470525019035,80.0253822003913,30.81572258989233,50.82736085360252,189.64681933956584,degree_centrality,0.4192396896824241,0.20231931743036402,0.5283947033112368
10,0.7,22508,11014.470525019035,80.0253822003913,30.81572258989233,50.82736085360252,189.64681933956584,closeness_centrality,0.09853850818206078,0.0480798330406803,0.14515780982614004
10,0.7,22508,11014.470525019035,80.0253822003913,30.81572258989233,50.82736085360252,189.64681933956584,betweenness_centrality,7.039168041120264e-05,3.85846970933397e-14,0.0031325275700812023
10,0.7,22508,11014.470525019035,80.0253822003913,30.81572258989233,50.82736085360252,189.64681933956584,eigenvector_centrality,0.0011913564972365815,2.202815982088598e-08,0.023660086112439003
10,0.75,23944,11240.507563745985,81.77329341194316,31.78103592134193,52.08699004698564,197.0901401587134,degree_centrality,0.4811260463540909,0.22078676150384663,0.6387155045886356
10,0.75,23944,11240.507563745985,81.77329341194316,31.78103592134193,52.08699004698564,197.0901401587134,closeness_centrality,0.117804827728921,0.05423202215206253,0.17450790076945066
10,0.75,23944,11240.507563745985,81.77329341194316,31.78103592134193,52.08699004698564,197.0901401587134,betweenness_centrality,7.19799309761942e-05,4.362275815691924e-13,0.003160065614717614
10,0.75,23944,11240.507563745985,81.77329341194316,31.78103592134193,52.08699004698564,197.0901401587134,eigenvector_centrality,0.0012127923418030857,6.012606810088095e-08,0.0239295890673377
10,0.8,25380,11452.676240456452,83.42256926658511,32.71547951180886,53.24538933317368,204.08401002695217,degree_centrality,0.5472396896824243,0.2642538023580264,0.6844405735391362
10,0.8,25380,11452.676240456452,83.42256926658511,32.71547951180886,53.24538933317368,204.08401002695217,closeness_centrality,0.14046462637922,0.06994406001545606,0.20678004632268734
10,0.8,25380,11452.676240456452,83.42256926658511,32.71547951180886,53.24538933317368,204.08401002695217,betweenness_centrality,7.356183054572666e-05,1.3727957853894576e-11,0.0031857914187748498
10,0.8,25380,11452.676240456452,83.42256926658511,32.71547951180886,53.24538933317368,204.08401002695217,eigenvector_centrality,0.00123050779167577,4.610828413528902e-08,0.024182270383186728
10,0.85,26816,11652.58164382898,84.95138008827196,33.47727852801514,53.9437705624701,208.08665094648683,degree_centrality,0.6176972629473712,0.28102772535926834,0.7525039918710987
10,0.85,26816,11652.58164382898,84.95138008827196,33.47727852801514,53.9437705624701,208.08665094648683,closeness_centrality,0.16719802553924187,0.07648648916017355,0.2337063029387643
10,0.85,26816,11652.58164382898,84.95138008827196,33.47727852801514,53.9437705624701,208.08665094648683,betweenness_centrality,7.519934573750759e-05,1.9489910326783834e-10,0.0032141097170579037
10,0.85,26816,11652.58164382898,84.95138008827196,33.47727852801514,53.9437705624701,208.08665094648683,eigenvector_centrality,0.0012499583822696686,2.2466993282571882e-07,0.024761950582305046
